uuid,day,hour,max_speed
Device_1,0,8,2.36
Device_1,0,14,0
Device_1,0,16,6.07
Device_1,0,17,0.99
Device_1,1,8,2.77
Device_1,1,9,22.58
Device_1,1,10,2.81
Device_1,1,11,2.8
Device_1,1,12,19.75
Device_1,1,13,1.58
Device_1,1,14,5.41
Device_1,1,16,1.51
Device_1,1,20,2.29
Device_1,2,8,1.66
Device_1,2,9,17.690001
Device_1,2,10,19.75
Device_1,2,11,2.4
Device_1,2,12,2.62
Device_1,2,13,5.91
Device_1,2,14,20.379999
Device_1,2,15,20.07
Device_1,2,16,2.63
Device_1,2,22,0
Device_1,3,8,2.71
Device_1,3,9,0
Device_1,3,12,5.49
Device_1,3,16,3.02
Device_1,4,8,0.51
Device_1,4,13,2.7
Device_1,4,15,3.05
Device_1,4,16,4.2
Device_1,5,1,0
Device_1,5,10,1.37
Device_1,5,11,19.18
Device_1,5,12,1.89
Device_1,5,15,0
Device_1,5,16,15.25
Device_1,6,0,0
Device_1,6,2,0
Device_1,6,9,16.190001
Device_1,6,10,15.52
Device_2,0,8,10.02
Device_2,0,16,10.39
Device_2,0,17,0
Device_2,0,19,0
Device_2,0,20,13.14
Device_2,0,21,13.72
Device_2,1,8,14.64
Device_2,1,11,19.049999
Device_2,1,12,20.950001
Device_2,1,15,0
Device_2,1,16,17.190001
Device_2,1,17,14.64
Device_2,1,18,0.64
Device_2,2,8,10.49
Device_2,2,16,8.54
Device_2,2,17,15.04
Device_2,2,18,0
Device_2,2,19,13.53
Device_2,3,8,11
Device_2,3,12,9.41
Device_2,3,13,8.07
Device_2,3,17,10.37
Device_2,4,8,30.92
Device_2,4,10,8.9
Device_2,4,11,12.66
Device_2,4,15,30.540001
Device_2,4,16,30.48
Device_2,4,17,14.32
Device_2,5,9,2.66
Device_2,5,10,2.58
Device_2,5,14,18.219999
Device_2,5,15,31.59
Device_2,5,16,13.06
Device_2,5,17,19.969999
Device_2,6,9,22.379999
Device_2,6,10,1.14
Device_2,6,12,21.75
Device_2,6,13,16.59
Device_2,6,14,13.02
Device_3,0,9,11.31
Device_3,0,14,1.74
Device_3,0,18,1.38
Device_3,0,19,15.31
Device_3,0,20,18.27
Device_3,1,9,12.73
Device_3,1,13,5.03
Device_3,1,17,1.57
Device_3,1,18,0
Device_3,1,19,12.79
Device_3,2,9,12.19
Device_3,2,10,7.01
Device_3,2,14,3.99
Device_3,2,15,0
Device_3,2,19,11.32
Device_3,3,9,12.96
Device_3,3,13,1.03
Device_3,3,19,12.78
Device_3,3,20,11.17
Device_3,3,22,11.38
Device_3,4,9,11.53
Device_3,4,10,3.28
Device_3,4,12,0
Device_3,4,13,3.87
Device_3,4,14,0
Device_3,4,15,0
Device_3,5,11,1.91
Device_3,5,12,0.7
Device_3,5,18,1.9
Device_3,6,15,0
Device_3,6,16,23.040001
Device_3,6,17,2.39
Device_3,6,18,17.030001
Device_4,0,8,2.37
Device_4,0,9,0
Device_4,0,11,14.72
Device_4,0,12,1.79
Device_4,0,13,2.34
Device_4,0,14,2.32
Device_4,0,15,20.040001
Device_4,0,16,1.96
Device_4,0,17,1.95
Device_4,1,8,2.28
Device_4,1,9,20.82
Device_4,1,10,2.02
Device_4,1,11,2.16
Device_4,1,12,18.969999
Device_4,1,16,3.57
Device_4,2,8,2.45
Device_4,2,9,16.690001
Device_4,2,10,19.43
Device_4,2,11,2.31
Device_4,2,12,2.11
Device_4,2,13,2.04
Device_4,2,14,20.309999
Device_4,2,15,20.1
Device_4,2,16,3.47
Device_4,2,22,0
Device_4,3,8,4.92
Device_4,3,9,2.07
Device_4,3,11,0
Device_4,3,14,1.32
Device_4,3,16,2.46
Device_4,3,17,17.379999
Device_4,4,8,1.95
Device_4,4,9,2.19
Device_4,4,12,1.47
Device_4,4,15,2.14
Device_4,4,16,1.96
Device_4,4,17,9.27
Device_4,4,18,13.58
Device_4,4,19,19.530001
Device_4,5,20,20.09
Device_4,5,21,12.17
Device_4,6,12,0.3
Device_4,6,16,19.32
Device_5,0,0,0.259999991
Device_5,0,7,0.140000001
Device_5,0,8,0
Device_5,0,9,0.819999993
Device_5,0,11,0.140000001
Device_5,0,12,14.34999943
Device_5,0,13,14.82999992
Device_5,0,14,0.319999993
Device_5,0,15,0.819999993
Device_5,0,16,0
Device_5,0,19,3.149999857
Device_5,0,20,17.43000031
Device_5,0,21,14.73999977
Device_5,1,0,0
Device_5,1,1,0.01
