uuid,weekday,hour,count,max,mean,time
Device_3,Monday,20,90,18.27,8.25,2019-11-22 20:28:00
Device_3,Saturday,11,56,1.91,1.53,2019-11-22 11:32:00
Device_3,Saturday,12,1,0.70,0.70,2019-11-22 12:39:00
Device_3,Saturday,18,36,1.90,1.32,2019-11-22 18:43:00
Device_3,Sunday,15,1,0.00,0.00,2019-11-22 15:00:00
Device_3,Sunday,16,89,23.04,13.15,2019-11-22 16:42:00
Device_3,Sunday,17,3,2.39,1.40,2019-11-22 17:25:00
Device_3,Sunday,18,98,17.03,10.66,2019-11-22 18:02:00
Device_3,Thursday,9,35,12.96,6.25,2019-11-22 09:16:00
Device_3,Thursday,13,3,1.03,0.34,2019-11-22 13:22:00
Device_3,Thursday,19,28,12.78,7.81,2019-11-22 19:01:00
Device_3,Thursday,20,17,11.17,5.45,2019-11-22 20:51:00
Device_3,Thursday,22,17,11.38,7.49,2019-11-22 22:19:00
Device_3,Tuesday,9,17,12.73,4.09,2019-11-22 09:26:00
Device_3,Tuesday,13,15,5.03,1.30,2019-11-22 13:04:00
Device_3,Tuesday,17,3,1.57,0.98,2019-11-22 17:20:00
Device_3,Tuesday,18,2,0.00,0.00,2019-11-22 18:38:00
Device_3,Tuesday,19,53,12.79,5.09,2019-11-22 19:30:00
Device_3,Wednesday,9,22,12.19,6.55,2019-11-22 09:56:00
Device_3,Wednesday,10,30,7.01,2.80,2019-11-22 10:00:00
Device_3,Wednesday,14,12,3.99,1.65,2019-11-22 14:54:00
Device_3,Wednesday,15,1,0.00,0.00,2019-11-22 15:01:00
Device_3,Wednesday,19,28,11.32,6.80,2019-11-22 19:39:00
Device_4,Friday,8,8,1.95,1.69,2019-11-22 08:58:00
Device_4,Friday,9,41,2.19,1.77,2019-11-22 09:00:00
Device_4,Friday,12,5,1.47,0.57,2019-11-22 12:12:00
Device_4,Friday,15,66,2.14,1.44,2019-11-22 15:12:00
Device_4,Friday,16,49,1.96,1.66,2019-11-22 16:34:00
Device_4,Friday,17,19,9.27,6.17,2019-11-22 17:30:00
Device_4,Friday,18,26,13.58,8.34,2019-11-22 18:23:00
Device_4,Friday,19,92,19.53,10.99,2019-11-22 19:13:00
Device_4,Monday,8,40,2.37,1.79,2019-11-22 08:49:00
Device_4,Monday,9,1,0.00,0.00,2019-11-22 09:00:00
Device_4,Monday,11,104,14.72,5.70,2019-11-22 11:13:00
Device_4,Monday,12,132,1.79,1.33,2019-11-22 12:00:00
Device_4,Monday,13,103,2.34,1.35,2019-11-22 13:00:00
Device_4,Monday,14,110,2.32,1.40,2019-11-22 14:00:00
Device_4,Monday,15,53,20.04,13.58,2019-11-22 15:08:00
Device_4,Monday,16,9,1.96,1.61,2019-11-22 16:57:00
Device_4,Monday,17,30,1.95,1.60,2019-11-22 17:00:00
Device_4,Saturday,20,28,20.09,10.01,2019-11-22 20:40:00
Device_4,Saturday,21,22,12.17,6.25,2019-11-22 21:00:00
Device_4,Sunday,12,1,0.30,0.30,2019-11-22 12:32:00
Device_4,Sunday,16,57,19.32,10.88,2019-11-22 16:23:00
Device_4,Thursday,8,4,4.92,2.47,2019-11-22 08:54:00
Device_4,Thursday,9,34,2.07,1.74,2019-11-22 09:00:00
Device_4,Thursday,11,3,0.00,0.00,2019-11-22 11:34:00
Device_4,Thursday,14,2,1.32,0.66,2019-11-22 14:39:00
Device_4,Thursday,16,3,2.46,1.74,2019-11-22 16:36:00
Device_4,Thursday,17,12,17.38,7.58,2019-11-22 17:20:00
Device_4,Tuesday,8,46,2.28,1.85,2019-11-22 08:47:00
Device_4,Tuesday,9,164,20.82,4.95,2019-11-22 09:00:00
Device_4,Tuesday,10,147,2.02,1.65,2019-11-22 10:00:00
Device_4,Tuesday,11,114,2.16,1.56,2019-11-22 11:00:00
Device_4,Tuesday,12,137,18.97,12.38,2019-11-22 12:05:00
Device_4,Tuesday,16,43,3.57,1.52,2019-11-22 16:26:00
Device_4,Wednesday,8,22,2.45,1.86,2019-11-22 08:53:00
Device_4,Wednesday,9,50,16.69,5.93,2019-11-22 09:00:00
Device_4,Wednesday,10,222,19.43,5.23,2019-11-22 10:00:00
Device_4,Wednesday,11,187,2.31,1.63,2019-11-22 11:00:00
Device_4,Wednesday,12,48,2.11,1.57,2019-11-22 12:06:00
Device_4,Wednesday,13,150,2.04,1.56,2019-11-22 13:00:00
Device_4,Wednesday,14,233,20.31,8.38,2019-11-22 14:00:00
Device_4,Wednesday,15,18,20.10,10.56,2019-11-22 15:00:00
Device_4,Wednesday,16,48,3.47,1.68,2019-11-22 16:42:00
Device_4,Wednesday,22,1,0.00,0.00,2019-11-22 22:14:00
Device_5,Friday,0,2,0.26,0.13,2019-11-22 00:36:00
Device_5,Friday,5,57,23.60,9.97,2019-11-22 05:09:00
Device_5,Friday,6,5,0.30,0.13,2019-11-22 06:01:00
Device_5,Friday,7,2,0.00,0.00,2019-11-22 07:12:00
Device_5,Friday,8,7,0.57,0.14,2019-11-22 08:00:00
Device_5,Friday,9,7,0.66,0.17,2019-11-22 09:00:00
Device_5,Friday,10,11,1.33,0.43,2019-11-22 10:50:00
Device_5,Friday,11,4,0.00,0.00,2019-11-22 11:23:00
Device_5,Friday,12,1,0.00,0.00,2019-11-22 12:07:00
Device_5,Friday,13,40,13.62,5.29,2019-11-22 13:33:00
Device_5,Friday,14,65,15.70,5.61,2019-11-22 14:09:00
Device_5,Friday,15,54,14.18,6.47,2019-11-22 15:00:00
Device_5,Friday,16,2,0.00,0.00,2019-11-22 16:55:00
Device_5,Friday,17,31,12.86,7.00,2019-11-22 17:50:00
Device_5,Friday,18,106,14.51,6.09,2019-11-22 18:00:00
Device_5,Friday,19,12,0.00,0.00,2019-11-22 19:50:00
Device_5,Friday,20,20,16.76,9.37,2019-11-22 20:01:00
Device_5,Monday,0,1,0.26,0.26,2019-11-22 00:32:00
Device_5,Monday,7,3,0.14,0.05,2019-11-22 07:04:00
Device_5,Monday,8,2,0.00,0.00,2019-11-22 08:15:00
Device_5,Monday,9,2,0.82,0.41,2019-11-22 09:10:00
Device_5,Monday,11,2,0.14,0.07,2019-11-22 11:13:00
Device_5,Monday,12,24,14.35,4.90,2019-11-22 12:47:00
Device_5,Monday,13,22,14.83,7.83,2019-11-22 13:03:00
Device_5,Monday,14,12,0.32,0.06,2019-11-22 14:18:00
Device_5,Monday,15,19,0.82,0.06,2019-11-22 15:00:00
Device_5,Monday,16,3,0.00,0.00,2019-11-22 16:23:00
Device_5,Monday,19,195,3.15,2.09,2019-11-22 19:14:00
Device_5,Monday,20,103,17.43,6.66,2019-11-22 20:00:00
Device_5,Monday,21,21,14.74,2.48,2019-11-22 21:10:00
Device_5,Saturday,5,1,0.68,0.68,2019-11-22 05:47:00
Device_5,Saturday,8,1,0.00,0.00,2019-11-22 08:14:00
Device_5,Saturday,9,1,0.00,0.00,2019-11-22 09:01:00
Device_5,Saturday,10,1,0.39,0.39,2019-11-22 10:47:00
Device_5,Saturday,11,56,1.86,0.82,2019-11-22 11:16:00
Device_5,Saturday,12,2,0.78,0.39,2019-11-22 12:42:00
Device_5,Saturday,13,2,0.06,0.03,2019-11-22 13:47:00
Device_5,Saturday,15,47,1.64,0.24,2019-11-22 15:00:00
Device_5,Saturday,16,23,1.69,0.36,2019-11-22 16:02:00
Device_5,Saturday,17,158,14.23,2.05,2019-11-22 17:00:00
Device_5,Saturday,18,37,13.46,3.10,2019-11-22 18:00:00
Device_5,Saturday,19,83,17.74,9.75,2019-11-22 19:18:00
Device_5,Saturday,20,6,0.00,0.00,2019-11-22 20:00:00
Device_5,Saturday,21,1,0.00,0.00,2019-11-22 21:17:00
Device_5,Saturday,22,1,0.00,0.00,2019-11-22 22:59:00
Device_5,Sunday,0,1,0.00,0.00,2019-11-22 00:44:00
Device_5,Sunday,2,67,18.62,12.10,2019-11-22 02:02:00
Device_5,Sunday,6,1,0.30,0.30,2019-11-22 06:05:00
Device_5,Sunday,9,3,0.31,0.19,2019-11-22 09:37:00
Device_5,Sunday,10,3,0.18,0.06,2019-11-22 10:09:00
Device_5,Sunday,11,1,0.00,0.00,2019-11-22 11:25:00
Device_5,Sunday,12,2,0.63,0.43,2019-11-22 12:15:00
Device_5,Sunday,13,6,0.50,0.08,2019-11-22 13:52:00
Device_5,Sunday,14,22,0.16,0.01,2019-11-22 14:00:00
Device_5,Sunday,15,52,17.12,5.33,2019-11-22 15:02:00
Device_5,Sunday,16,26,1.95,0.59,2019-11-22 16:00:00
Device_5,Sunday,17,47,1.57,0.86,2019-11-22 17:00:00
Device_5,Sunday,19,1,0.00,0.00,2019-11-22 19:44:00
Device_5,Sunday,20,61,2.32,0.66,2019-11-22 20:26:00
Device_5,Sunday,21,2,0.00,0.00,2019-11-22 21:06:00
Device_5,Sunday,22,97,21.50,10.52,2019-11-22 22:05:00
Device_5,Sunday,23,2,0.00,0.00,2019-11-22 23:16:00
Device_5,Thursday,1,1,0.15,0.15,2019-11-22 01:59:00
Device_5,Thursday,6,2,1.24,0.71,2019-11-22 06:01:00
Device_5,Thursday,8,1,0.00,0.00,2019-11-22 08:54:00
Device_5,Thursday,9,42,16.82,4.64,2019-11-22 09:03:00
Device_5,Thursday,10,10,0.00,0.00,2019-11-22 10:17:00
Device_5,Thursday,11,34,1.22,0.07,2019-11-22 11:00:00
Device_5,Thursday,12,38,16.52,7.32,2019-11-22 12:02:00
Device_5,Thursday,13,2,0.00,0.00,2019-11-22 13:18:00
Device_5,Thursday,14,8,1.16,0.55,2019-11-22 14:39:00
Device_5,Thursday,15,2,0.00,0.00,2019-11-22 15:26:00
Device_5,Thursday,16,1,0.00,0.00,2019-11-22 16:34:00
Device_5,Thursday,17,54,3.77,2.38,2019-11-22 17:23:00
Device_5,Thursday,18,151,3.57,2.21,2019-11-22 18:00:00
Device_5,Thursday,20,131,20.30,10.97,2019-11-22 20:18:00
Device_5,Thursday,22,144,19.01,10.47,2019-11-22 22:00:00
Device_5,Thursday,23,4,0.26,0.14,2019-11-22 23:00:00
Device_5,Tuesday,0,1,0.00,0.00,2019-11-22 00:29:00
Device_5,Tuesday,1,1,0.01,0.01,2019-11-22 01:08:00
Device_5,Tuesday,6,1,0.15,0.15,2019-11-22 06:45:00
Device_5,Tuesday,7,4,1.00,0.43,2019-11-22 07:07:00
Device_5,Tuesday,8,17,11.95,0.91,2019-11-22 08:23:00
Device_5,Tuesday,9,8,0.00,0.00,2019-11-22 09:07:00
Device_5,Tuesday,10,3,0.00,0.00,2019-11-22 10:02:00
Device_5,Tuesday,11,12,0.00,0.00,2019-11-22 11:05:00
Device_5,Tuesday,12,19,1.01,0.09,2019-11-22 12:00:00
Device_5,Tuesday,13,1,0.00,0.00,2019-11-22 13:14:00
Device_5,Tuesday,14,5,0.00,0.00,2019-11-22 14:03:00
Device_5,Tuesday,15,5,0.00,0.00,2019-11-22 15:03:00
Device_5,Tuesday,16,50,16.28,7.32,2019-11-22 16:07:00
Device_5,Tuesday,17,7,1.65,0.55,2019-11-22 17:02:00
Device_5,Tuesday,18,1,0.60,0.60,2019-11-22 18:59:00
Device_5,Tuesday,19,36,0.00,0.00,2019-11-22 19:01:00
Device_5,Tuesday,20,61,3.23,0.77,2019-11-22 20:06:00
Device_5,Tuesday,21,143,4.38,2.00,2019-11-22 21:00:00
Device_5,Tuesday,22,4,0.00,0.00,2019-11-22 22:23:00
Device_5,Tuesday,23,4,0.00,0.00,2019-11-22 23:04:00
Device_5,Wednesday,0,1,0.18,0.18,2019-11-22 00:55:00
Device_5,Wednesday,5,1,0.47,0.47,2019-11-22 05:07:00
Device_5,Wednesday,7,2,0.00,0.00,2019-11-22 07:32:00
Device_5,Wednesday,8,23,17.20,5.79,2019-11-22 08:12:00
Device_5,Wednesday,9,14,1.72,0.63,2019-11-22 09:01:00
Device_5,Wednesday,10,15,1.07,0.07,2019-11-22 10:10:00
Device_5,Wednesday,11,2,0.00,0.00,2019-11-22 11:16:00
Device_5,Wednesday,12,14,0.00,0.00,2019-11-22 12:01:00
Device_5,Wednesday,13,14,0.00,0.00,2019-11-22 13:05:00
Device_5,Wednesday,14,14,0.63,0.04,2019-11-22 14:01:00
Device_5,Wednesday,15,47,17.63,6.26,2019-11-22 15:25:00
Device_5,Wednesday,16,3,1.28,0.58,2019-11-22 16:14:00
Device_5,Wednesday,17,24,12.13,0.85,2019-11-22 17:20:00
Device_5,Wednesday,18,78,15.27,4.06,2019-11-22 18:00:00
Device_5,Wednesday,19,21,0.00,0.00,2019-11-22 19:03:00
Device_5,Wednesday,20,53,15.21,6.65,2019-11-22 20:00:00
Device_5,Wednesday,21,10,0.00,0.00,2019-11-22 21:02:00
