uuid,speed,timestamp,weekday
Device_1,0,2017-07-14 13:34:00,Friday
Device_1,5.55,2017-07-14 16:29:00,Friday
Device_1,0,2017-07-14 16:29:00,Friday
Device_1,10.9,2017-07-14 16:30:00,Friday
Device_1,2.78,2017-07-14 16:30:00,Friday
Device_1,11.02,2017-07-14 16:30:00,Friday
Device_1,10.28,2017-07-14 16:30:00,Friday
Device_1,12.18,2017-07-14 16:31:00,Friday
Device_1,12.53,2017-07-14 16:31:00,Friday
Device_1,12.85,2017-07-14 16:31:00,Friday
Device_1,12.64,2017-07-14 16:31:00,Friday
Device_1,13.52,2017-07-14 16:31:00,Friday
Device_1,12.97,2017-07-14 16:31:00,Friday
Device_1,13.64,2017-07-14 16:31:00,Friday
Device_1,13.9,2017-07-14 16:31:00,Friday
Device_1,11.6,2017-07-14 16:31:00,Friday
Device_1,12.44,2017-07-14 16:31:00,Friday
Device_1,12.01,2017-07-14 16:31:00,Friday
Device_1,0.69,2017-07-14 16:32:00,Friday
Device_1,2.53,2017-07-14 16:32:00,Friday
Device_1,3.25,2017-07-14 16:32:00,Friday
Device_1,4.65,2017-07-14 16:32:00,Friday
Device_1,6,2017-07-14 16:32:00,Friday
Device_1,11.3,2017-07-14 16:32:00,Friday
Device_1,1.34,2017-07-14 16:34:00,Friday
Device_1,2.3,2017-07-14 16:35:00,Friday
Device_1,12.95,2017-07-14 17:28:00,Friday
Device_1,10.54,2017-07-14 17:28:00,Friday
Device_1,6.54,2017-07-14 17:28:00,Friday
Device_1,0,2017-07-14 17:28:00,Friday
Device_1,9.63,2017-07-14 17:29:00,Friday
Device_1,11.72,2017-07-14 17:29:00,Friday
Device_1,12.87,2017-07-14 17:29:00,Friday
Device_1,13.3,2017-07-14 17:29:00,Friday
Device_1,13.7,2017-07-14 17:29:00,Friday
Device_1,13.79,2017-07-14 17:29:00,Friday
Device_1,14.52,2017-07-14 17:29:00,Friday
Device_1,12.43,2017-07-14 17:29:00,Friday
Device_1,13.03,2017-07-14 17:29:00,Friday
Device_1,13.68,2017-07-14 17:29:00,Friday
Device_1,12.33,2017-07-14 17:29:00,Friday
Device_1,13.8,2017-07-14 17:29:00,Friday
Device_1,11.25,2017-07-14 17:30:00,Friday
Device_1,1.23,2017-07-14 17:30:00,Friday
Device_1,13.75,2017-07-14 17:31:00,Friday
Device_1,13.07,2017-07-14 17:31:00,Friday
Device_1,13.06,2017-07-14 17:31:00,Friday
Device_1,13.68,2017-07-14 17:31:00,Friday
Device_1,13.99,2017-07-14 17:31:00,Friday
Device_1,13.86,2017-07-14 17:31:00,Friday
Device_1,12.92,2017-07-14 17:31:00,Friday
Device_1,7.39,2017-07-14 17:31:00,Friday
Device_1,11.8,2017-07-14 17:31:00,Friday
Device_1,13.65,2017-07-14 17:31:00,Friday
Device_1,13.63,2017-07-14 17:31:00,Friday
Device_1,13.19,2017-07-14 17:31:00,Friday
Device_1,7.24,2017-07-14 17:32:00,Friday
Device_1,1.98,2017-07-14 17:32:00,Friday
Device_1,13.09,2017-07-14 17:32:00,Friday
