uuid,count,max,mean
Device_1,4299,22.58,5.1154524291695855
Device_2,6136,31.59,9.124237282268563
Device_3,879,23.040001,6.407269633674628
Device_4,6584,30.450001,5.858710513669489
Device_5,20689,119.1499939,8.13299078708813
