uuid,speed,timestamp,time,weekday,location
Device_5,0.079999998,2017-08-11 18:21:00,18:21:00,Friday,"[47.5291695, -52.8054299]"
Device_5,0,2017-08-11 18:27:00,18:27:00,Friday,"[47.529076399999994, -52.8050179]"
Device_5,0,2017-08-11 18:27:00,18:27:00,Friday,"[47.52896810000001, -52.805406999999995]"
Device_5,0,2017-08-11 18:32:00,18:32:00,Friday,"[47.5292674, -52.80531750000001]"
Device_5,0,2017-08-11 18:33:00,18:33:00,Friday,"[47.5290169, -52.8055363]"
Device_5,0,2017-08-11 18:34:00,18:34:00,Friday,"[47.5290602, -52.805063]"
Device_5,0,2017-08-11 18:37:00,18:37:00,Friday,"[47.529005, -52.8055341]"
Device_5,0,2017-08-11 19:11:00,19:11:00,Friday,"[47.531648700000005, -52.8062113]"
Device_5,0,2017-08-11 19:12:00,19:12:00,Friday,"[47.533975399999996, -52.80584399999999]"
Device_5,17.38999939,2017-08-11 19:12:00,19:12:00,Friday,"[47.53526273, -52.80475591]"
Device_5,17.32999992,2017-08-11 19:12:00,19:12:00,Friday,"[47.53649705, -52.80314776]"
Device_5,16.18000031,2017-08-11 19:12:00,19:12:00,Friday,"[47.53764382, -52.80234922]"
Device_5,16.51000023,2017-08-11 19:12:00,19:12:00,Friday,"[47.53887269, -52.80306797]"
Device_5,4.889999867,2017-08-11 19:12:00,19:12:00,Friday,"[47.539838200000005, -52.80389786]"
Device_5,12.05999947,2017-08-11 19:12:00,19:12:00,Friday,"[47.54021425, -52.80339092]"
Device_5,15.23999977,2017-08-11 19:13:00,19:13:00,Friday,"[47.54083686, -52.8019603]"
Device_5,16.73999977,2017-08-11 19:13:00,19:13:00,Friday,"[47.54154501, -52.80030051]"
Device_5,17.32999992,2017-08-11 19:13:00,19:13:00,Friday,"[47.54227955, -52.79859002]"
Device_5,16.21999931,2017-08-11 19:13:00,19:13:00,Friday,"[47.5430146, -52.79689302]"
Device_5,15.84999943,2017-08-11 19:13:00,19:13:00,Friday,"[47.54369396, -52.79531202]"
Device_5,15.93999958,2017-08-11 19:13:00,19:13:00,Friday,"[47.54440604, -52.79370496]"
Device_5,16.61999893,2017-08-11 19:14:00,19:14:00,Friday,"[47.54511176, -52.79207082]"
Device_5,15.29999924,2017-08-11 19:14:00,19:14:00,Friday,"[47.54575561, -52.79045119]"
Device_5,9.18999958,2017-08-11 19:14:00,19:14:00,Friday,"[47.54625429, -52.78911671]"
Device_5,2.769999981,2017-08-11 19:14:00,19:14:00,Friday,"[47.54662515, -52.78881739]"
Device_5,3.119999886,2017-08-11 19:14:00,19:14:00,Friday,"[47.54689932, -52.78897472]"
Device_5,0,2017-08-11 19:15:00,19:15:00,Friday,"[47.54695041, -52.78870264]"
Device_5,0,2017-08-11 19:17:00,19:17:00,Friday,"[47.547095899999995, -52.7886577]"
Device_5,0,2017-08-11 19:17:00,19:17:00,Friday,"[47.5472, -52.7885805]"
Device_5,0,2017-08-11 19:20:00,19:20:00,Friday,"[47.5361279, -52.8230078]"
Device_5,0,2017-08-11 19:21:00,19:21:00,Friday,"[47.5354551, -52.825750600000006]"
Device_5,0,2017-08-11 19:21:00,19:21:00,Friday,"[47.5343749, -52.8298591]"
Device_5,15.03999996,2017-08-11 19:23:00,19:23:00,Friday,"[47.52750364, -52.84604659]"
Device_5,29.22999954,2017-08-11 19:24:00,19:24:00,Friday,"[47.51604881, -52.85065345]"
Device_5,3.220000029,2017-08-11 19:25:00,19:25:00,Friday,"[47.50427978, -52.85898968]"
Device_5,0.280000001,2017-08-11 19:26:00,19:26:00,Friday,"[47.50427944, -52.85922294]"
Device_5,0,2017-08-11 19:27:00,19:27:00,Friday,"[47.4890146, -52.86968929999999]"
Device_5,0,2017-08-11 19:28:00,19:28:00,Friday,"[47.4890146, -52.86968929999999]"
Device_5,0.329999983,2017-08-11 19:29:00,19:29:00,Friday,"[47.50438996, -52.85920585]"
Device_5,0,2017-08-11 19:31:00,19:31:00,Friday,"[47.5568605, -52.759823499999996]"
Device_5,30.79999924,2017-08-11 19:35:00,19:35:00,Friday,"[47.47279944, -52.87951117]"
Device_5,27.72999954,2017-08-11 19:37:00,19:37:00,Friday,"[47.4644439, -52.93131427]"
Device_5,25.86999893,2017-08-11 19:42:00,19:42:00,Friday,"[47.41139961, -53.01058914]"
Device_5,30.34000015,2017-08-11 19:46:00,19:46:00,Friday,"[47.35372433, -53.05176264]"
Device_5,0,2017-08-11 19:59:00,19:59:00,Friday,"[47.4061747, -53.30185129999999]"
Device_5,0,2017-08-11 20:00:00,20:00:00,Friday,"[47.4061747, -53.30185129999999]"
Device_5,29.38999939,2017-08-11 20:01:00,20:01:00,Friday,"[47.40944667, -53.31565663]"
Device_5,0,2017-08-11 20:04:00,20:04:00,Friday,"[47.4173324, -53.331114500000005]"
Device_5,0,2017-08-11 20:06:00,20:06:00,Friday,"[47.4385347, -53.38341460000001]"
Device_5,0,2017-08-11 20:08:00,20:08:00,Friday,"[47.4470116, -53.5190988]"
Device_5,0,2017-08-11 20:11:00,20:11:00,Friday,"[47.4853513, -53.6724208]"
Device_5,0,2017-08-11 20:12:00,20:12:00,Friday,"[47.447864200000005, -53.533860600000004]"
Device_5,26.64999962,2017-08-11 20:18:00,20:18:00,Friday,"[47.47675801, -53.65980894]"
Device_5,0,2017-08-11 20:21:00,20:21:00,Friday,"[47.557612299999995, -53.550113100000004]"
Device_5,0,2017-08-11 20:23:00,20:23:00,Friday,"[47.5535196, -53.734430700000004]"
Device_5,26.1099987,2017-08-11 20:24:00,20:24:00,Friday,"[47.54907816, -53.73640621]"
Device_5,0,2017-08-11 20:25:00,20:25:00,Friday,"[47.5452005, -53.73772579999999]"
Device_5,0,2017-08-11 20:28:00,20:28:00,Friday,"[47.5488613, -53.7380927]"
Device_5,0,2017-08-11 20:32:00,20:32:00,Friday,"[47.6183041, -53.7959243]"
Device_5,0,2017-08-11 20:35:00,20:35:00,Friday,"[47.609242200000004, -53.7817186]"
Device_5,6.089999676,2017-08-11 20:37:00,20:37:00,Friday,"[47.57489337, -53.83100714]"
Device_5,0,2017-08-11 20:40:00,20:40:00,Friday,"[47.4285166, -53.805908200000005]"
Device_5,0,2017-08-11 20:42:00,20:42:00,Friday,"[47.5488613, -53.7380927]"
Device_5,0,2017-08-11 20:43:00,20:43:00,Friday,"[47.6183041, -53.7959243]"
Device_5,0,2017-08-11 20:46:00,20:46:00,Friday,"[47.5466474, -53.812360899999995]"
Device_5,0,2017-08-11 20:46:00,20:46:00,Friday,"[47.609242200000004, -53.7817186]"
Device_5,8.210000038,2017-08-11 20:46:00,20:46:00,Friday,"[47.54629495, -53.79947239999999]"
Device_5,8.880000114,2017-08-11 20:46:00,20:46:00,Friday,"[47.5469567, -53.79768237]"
Device_5,0.550000012,2017-08-11 20:48:00,20:48:00,Friday,"[47.55061334, -53.79118941]"
Device_5,0,2017-08-11 20:48:00,20:48:00,Friday,"[47.609242200000004, -53.7817186]"
Device_5,0.379999995,2017-08-11 20:49:00,20:49:00,Friday,"[47.550487200000006, -53.79082211]"
Device_5,0,2017-08-11 20:51:00,20:51:00,Friday,"[47.5452005, -53.73772579999999]"
Device_5,0.550000012,2017-08-11 20:52:00,20:52:00,Friday,"[47.55033347, -53.79048365]"
Device_5,0,2017-08-11 20:54:00,20:54:00,Friday,"[47.5452005, -53.73772579999999]"
Device_5,0,2017-08-11 20:55:00,20:55:00,Friday,"[47.5452005, -53.73772579999999]"
Device_5,0.340000004,2017-08-11 20:55:00,20:55:00,Friday,"[47.55043929, -53.79053386]"
Device_5,0,2017-08-11 21:01:00,21:01:00,Friday,"[47.5452005, -53.73772579999999]"
Device_5,0.289999992,2017-08-11 21:02:00,21:02:00,Friday,"[47.55043531, -53.79063495]"
Device_5,0,2017-08-11 21:04:00,21:04:00,Friday,"[47.5452005, -53.73772579999999]"
Device_5,0.170000002,2017-08-11 21:04:00,21:04:00,Friday,"[47.55040577, -53.79071793]"
Device_5,0,2017-08-11 21:06:00,21:06:00,Friday,"[47.5452005, -53.73772579999999]"
Device_5,0.599999964,2017-08-11 21:07:00,21:07:00,Friday,"[47.550497799999995, -53.79070443]"
Device_5,0,2017-08-11 21:09:00,21:09:00,Friday,"[47.5452005, -53.73772579999999]"
Device_5,0.25,2017-08-11 21:09:00,21:09:00,Friday,"[47.55027748, -53.79064048]"
Device_5,0.129999995,2017-08-11 21:11:00,21:11:00,Friday,"[47.55050601, -53.79071776]"
Device_5,0,2017-08-11 21:12:00,21:12:00,Friday,"[47.5452005, -53.73772579999999]"
Device_5,0.079999998,2017-08-11 21:13:00,21:13:00,Friday,"[47.55043385, -53.79065095]"
Device_5,0,2017-08-11 21:13:00,21:13:00,Friday,"[47.5535196, -53.734430700000004]"
Device_5,0,2017-08-11 21:16:00,21:16:00,Friday,"[47.5452005, -53.73772579999999]"
Device_5,0.259999991,2017-08-11 21:18:00,21:18:00,Friday,"[47.55041754, -53.7905834]"
Device_5,0,2017-08-11 21:19:00,21:19:00,Friday,"[47.5452005, -53.73772579999999]"
Device_5,0,2017-08-11 21:19:00,21:19:00,Friday,"[47.5452005, -53.73772579999999]"
Device_5,0.039999999,2017-08-11 21:20:00,21:20:00,Friday,"[47.55042064, -53.79067887]"
