uuid,latitude,longitude,altitude,speed,timestamp
,,,,,
2C08C96C-2595-4813-9EED-F1C8BE107854,47.583532,-52.706467,46.233765,13.06,2017-07-14 17:31
,,,,,
,,,,,
2C08C96C-2595-4813-9EED-F1C8BE107854,47.584043,-52.706584,45.182617,13.68,2017-07-14 17:31
,,,,,
,,,,,
2C08C96C-2595-4813-9EED-F1C8BE107854,47.584594,-52.706678,44.015442,13.99,2017-07-14 17:31
,,,,,
,,,,,
2C08C96C-2595-4813-9EED-F1C8BE107854,47.585185,-52.707021,46.619812,13.86,2017-07-14 17:31
,,,,,
,,,,,
2C08C96C-2595-4813-9EED-F1C8BE107854,47.585853,-52.707565,46.033508,12.92,2017-07-14 17:31
,,,,,
,,,,,
2C08C96C-2595-4813-9EED-F1C8BE107854,47.586214,-52.708299,43.371582,7.39,2017-07-14 17:31
,,,,,
,,,,,
2C08C96C-2595-4813-9EED-F1C8BE107854,47.586144,-52.708699,43.842224,11.8,2017-07-14 17:31
,,,,,
,,,,,
2C08C96C-2595-4813-9EED-F1C8BE107854,47.585639,-52.709063,38.724548,13.65,2017-07-14 17:31
,,,,,
,,,,,
2C08C96C-2595-4813-9EED-F1C8BE107854,47.585167,-52.709302,37.140381,13.63,2017-07-14 17:31
,,,,,
,,,,,
2C08C96C-2595-4813-9EED-F1C8BE107854,47.58448,-52.709672,36.58252,13.19,2017-07-14 17:31
,,,,,
,,,,,
2C08C96C-2595-4813-9EED-F1C8BE107854,47.577865,-52.703968,17.451538,7.24,2017-07-14 17:32
,,,,,
,,,,,
2C08C96C-2595-4813-9EED-F1C8BE107854,47.578159,-52.704056,19.649048,1.98,2017-07-14 17:32
,,,,,
,,,,,
2C08C96C-2595-4813-9EED-F1C8BE107854,47.578677,-52.704212,26.801758,13.09,2017-07-14 17:32
,,,,,
,,,,,
2C08C96C-2595-4813-9EED-F1C8BE107854,47.579256,-52.704341,33.865051,14.25,2017-07-14 17:32
,,,,,
,,,,,
2C08C96C-2595-4813-9EED-F1C8BE107854,47.580044,-52.704364,36.667358,13.05,2017-07-14 17:32
,,,,,
,,,,,
2C08C96C-2595-4813-9EED-F1C8BE107854,47.5807,-52.704327,42.806152,12.85,2017-07-14 17:32
,,,,,
,,,,,
2C08C96C-2595-4813-9EED-F1C8BE107854,47.581283,-52.704632,42.762268,14.53,2017-07-14 17:32
,,,,,
,,,,,
2C08C96C-2595-4813-9EED-F1C8BE107854,47.581931,-52.705279,40.133484,14.42,2017-07-14 17:32
,,,,,
,,,,,
2C08C96C-2595-4813-9EED-F1C8BE107854,47.575002,-52.702854,21.545227,9.71,2017-07-14 17:33
,,,,,
,,,,,
2C08C96C-2595-4813-9EED-F1C8BE107854,47.575509,-52.702962,24.663696,6.53,2017-07-14 17:33
,,,,,
,,,,,
2C08C96C-2595-4813-9EED-F1C8BE107854,47.575798,-52.703034,14.309692,5.93,2017-07-14 17:33
,,,,,
,,,,,
2C08C96C-2595-4813-9EED-F1C8BE107854,47.576262,-52.703266,16.001892,10.58,2017-07-14 17:33
,,,,,
,,,,,
2C08C96C-2595-4813-9EED-F1C8BE107854,47.576764,-52.703567,15.657471,10.14,2017-07-14 17:33
,,,,,
,,,,,
2C08C96C-2595-4813-9EED-F1C8BE107854,47.577306,-52.70379,14.717834,9.9,2017-07-14 17:33
,,,,,
,,,,,
2C08C96C-2595-4813-9EED-F1C8BE107854,47.570904,-52.701362,29.426025,8.19,2017-07-14 17:34
,,,,,
,,,,,
2C08C96C-2595-4813-9EED-F1C8BE107854,47.571376,-52.701672,26.187256,8.18,2017-07-14 17:34
,,,,,
,,,,,
2C08C96C-2595-4813-9EED-F1C8BE107854,47.571856,-52.701823,25.892029,8.02,2017-07-14 17:34
,,,,,
,,,,,
2C08C96C-2595-4813-9EED-F1C8BE107854,47.572361,-52.702039,26.6297,6.28,2017-07-14 17:34
,,,,,
,,,,,
2C08C96C-2595-4813-9EED-F1C8BE107854,47.572631,-52.702151,32.903687,6.4,2017-07-14 17:34
,,,,,
,,,,,
2C08C96C-2595-4813-9EED-F1C8BE107854,47.573129,-52.702337,25.596375,6.44,2017-07-14 17:34
,,,,,
,,,,,
2C08C96C-2595-4813-9EED-F1C8BE107854,47.573464,-52.70244,24.902466,8.64,2017-07-14 17:34
,,,,,
,,,,,
2C08C96C-2595-4813-9EED-F1C8BE107854,47.573958,-52.70259,24.587036,7.71,2017-07-14 17:34
,,,,,
,,,,,
2C08C96C-2595-4813-9EED-F1C8BE107854,47.574458,-52.702727,21.079712,9.6,2017-07-14 17:34
,,,,,
,,,,,
2C08C96C-2595-4813-9EED-F1C8BE107854,47.571033,-52.70065,30.308655,1.08,2017-07-14 17:35
,,,,,
,,,,,
2C08C96C-2595-4813-9EED-F1C8BE107854,47.571315,-52.700735,31.549438,3.23,2017-07-14 17:35
,,,,,
,,,,,
2C08C96C-2595-4813-9EED-F1C8BE107854,47.571534,-52.700619,31.174927,4.79,2017-07-14 17:35
,,,,,
,,,,,
2C08C96C-2595-4813-9EED-F1C8BE107854,47.571212,-52.700563,28.565857,5.51,2017-07-14 17:35
,,,,,
,,,,,
2C08C96C-2595-4813-9EED-F1C8BE107854,47.570958,-52.700726,26.997986,4.58,2017-07-14 17:35
,,,,,
,,,,,
2C08C96C-2595-4813-9EED-F1C8BE107854,47.570724,-52.700651,24.264404,6.76,2017-07-14 17:35
,,,,,
,,,,,
2C08C96C-2595-4813-9EED-F1C8BE107854,47.570471,-52.700531,23.437866,5.29,2017-07-14 17:35
,,,,,
,,,,,
2C08C96C-2595-4813-9EED-F1C8BE107854,47.570453,-52.700873,24.837036,4.85,2017-07-14 17:35
,,,,,
,,,,,
