uuid,count,max,mean
Device_1,2106,22.58,5.58865621842356
Device_2,4468,31.59,10.255483429946272
Device_3,831,23.040001,6.460890503008426
Device_4,2684,20.82,4.524090911326382
Device_5,2993,23.60000038,4.4280820956762454
