,index,uuid,weekday,hour,count,max,mean,time
73,6060,Device_2,Tuesday,17,160,14.64,9.258124999999996,2019-11-25 17:04:00
74,6220,Device_2,Tuesday,18,2,0.64,0.64,2019-11-25 18:04:00
75,6222,Device_2,Wednesday,8,130,10.49,5.802461538461541,2019-11-25 08:10:00
76,6352,Device_2,Wednesday,16,79,8.54,4.613797468354431,2019-11-25 16:37:00
77,6431,Device_2,Wednesday,17,92,15.04,7.575000000000002,2019-11-25 17:00:00
78,6523,Device_2,Wednesday,18,2,0.0,0.0,2019-11-25 18:56:00
79,6525,Device_2,Wednesday,19,49,13.53,9.627551020408163,2019-11-25 19:00:00
80,6574,Device_3,Friday,9,12,11.53,6.429166666666667,2019-11-25 09:57:00
81,6586,Device_3,Friday,10,8,3.28,1.4649999999999999,2019-11-25 10:00:00
82,6594,Device_3,Friday,12,1,0.0,0.0,2019-11-25 12:20:00
83,6595,Device_3,Friday,13,10,3.87,0.7010000000000001,2019-11-25 13:23:00
84,6605,Device_3,Friday,14,2,0.0,0.0,2019-11-25 14:35:00
85,6607,Device_3,Friday,15,3,0.0,0.0,2019-11-25 15:04:00
86,6610,Device_3,Monday,9,49,11.31,4.662244897959184,2019-11-25 09:49:00
87,6659,Device_3,Monday,14,10,1.74,1.2819999999999998,2019-11-25 14:24:00
88,6669,Device_3,Monday,18,11,1.38,1.0654545454545454,2019-11-25 18:25:00
89,6680,Device_3,Monday,19,68,15.31,6.861029411764705,2019-11-25 19:00:00
90,6748,Device_3,Monday,20,90,18.27,8.25222225555556,2019-11-25 20:28:00
91,6838,Device_3,Saturday,11,56,1.91,1.5255357142857142,2019-11-25 11:32:00
92,6894,Device_3,Saturday,12,1,0.7,0.7,2019-11-25 12:39:00
93,6895,Device_3,Saturday,18,36,1.9,1.3208333333333337,2019-11-25 18:43:00
94,6931,Device_3,Sunday,15,1,0.0,0.0,2019-11-25 15:00:00
95,6932,Device_3,Sunday,16,89,23.040001,13.145842741573034,2019-11-25 16:42:00
96,7021,Device_3,Sunday,17,3,2.39,1.3966666666666667,2019-11-25 17:25:00
97,7024,Device_3,Sunday,18,98,17.030001000000002,10.66010205102041,2019-11-25 18:02:00
